,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2017-01-18,5,3.6606772932218767,3
2017-01-19,7,12.645775982796875,0
2017-01-20,9,7.846598477539062,1
2017-01-21,0,1.902835412464062,0
2017-01-22,0,2.4562607011453124,0
2017-01-23,7,12.669371469928127,4
2017-01-24,4,10.741368260000002,0
2017-01-25,2,13.41503596565625,5
2017-01-26,4,9.88371644720625,1
2017-01-27,4,16.916222342601564,2
2017-01-28,0,2.1544630993406253,0
2017-01-29,0,-1.7615224874218738,0
2017-01-30,4,4.135232927793752,1
2017-01-31,5,14.038870206387504,0
2017-02-01,1,10.064612692793752,2
2017-02-02,4,20.021900607532814,2
2017-02-03,2,8.959292540221874,1
2017-02-04,0,10.486923966720312,0
2017-02-05,0,-2.4824332000624993,0
2017-02-06,2,5.877628944268753,1
2017-02-07,0,19.702288216870315,3
2017-02-08,3,20.262276787784376,15
2017-02-09,0,23.450672113971876,12
2017-02-10,2,8.653840741423437,3
2017-02-11,0,-1.413544437529687,0
2017-02-12,0,0.062000238564065224,0
2017-02-13,3,7.695181906481254,3
2017-02-14,0,23.394061025839065,0
2017-02-15,0,16.66439923336875,5
2017-02-16,0,6.425356311834375,5
2017-02-17,4,13.294741739700001,10
2017-02-18,0,3.066216120525001,0
2017-02-19,0,-0.9426380882999976,0
2017-02-20,0,1.927709965845315,12
2017-02-21,5,12.096235197235941,12
2017-02-22,3,14.233863327484377,14
2017-02-23,3,10.6367681394875,10
2017-02-24,5,8.758762229823438,6
2017-02-25,0,-2.0272705979109373,0
2017-02-26,0,0.0995088732796896,0
2017-02-27,11,3.54316869621719,2
2017-02-28,4,11.473778582865627,5
2017-03-01,1,17.6635236963875,2
2017-03-02,39,10.62155709573125,4
2017-03-03,28,5.770930757170312,0
2017-03-04,2,11.280982337059376,0
2017-03-05,3,-2.025119748446874,0
2017-03-06,18,9.147779877682815,8
2017-03-07,9,10.572305428600002,7
2017-03-08,16,14.16964981811719,9
2017-03-09,5,8.580881796720313,11
2017-03-10,2,13.8350508758125,10
2017-03-11,1,-3.5425692626437497,1
2017-03-12,0,-2.033202138792185,0
2017-03-13,2,13.573276180231252,10
2017-03-14,8,11.47371394054219,10
2017-03-15,22,15.087702816651564,15
2017-03-16,12,6.513775028267187,11
2017-03-17,3,18.034869414451563,6
2017-03-18,0,-1.8574738016968748,0
2017-03-19,0,0.6322298193890648,0
2017-03-20,9,13.164099881250003,6
2017-03-21,7,4.177167332265627,11
2017-03-22,6,9.56847742224219,5
2017-03-23,17,11.286126205215625,3
2017-03-24,1,6.996058127946876,5
