,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2023-05-15,3.7439999999999998,0,0
2023-05-16,-1.7663999999999997,0,0
2023-05-17,-0.599808,0,0
2023-05-18,-0.3478528,1,1
2023-05-19,-0.23988224000000016,0,0
2023-05-20,-0.18043084800000003,0,0
2023-05-21,-0.14304542720000002,0,0
2023-05-22,-0.07348223999999998,0,0
2023-05-23,-0.06062284799999997,0,0
2023-05-24,-0.051192627199999986,0,0
2023-05-25,0.0,0,0
2023-05-26,0.0,1,0
2023-05-27,0.0,0,0
2023-05-28,0.0,6,0
2023-05-29,0.0,2,0
2023-05-30,4.0,0,0
2023-05-31,3.4000000000000004,0,0
2023-06-01,-2.4799999999999995,0,0
2023-06-02,-0.856,0,0
2023-06-03,-0.48640000000000017,13,0
2023-06-04,-0.3278080000000003,2,0
2023-06-05,-0.24161280000000013,0,0
2023-06-06,0.81170176,7,0
2023-06-07,-0.5524756479999998,0,0
2023-06-08,4.7530288128,1,0
2023-06-09,-0.12799078399999964,4,0
2023-06-10,-1.4415999999999998,0,0
2023-06-11,-0.589952,1,0
2023-06-12,-0.35896320000000026,2,0
2023-06-13,-0.2513305600000002,0,0
2023-06-14,2.810124288,0,0
2023-06-15,0.6494226432000003,0,0
2023-06-16,-0.2725196799999998,0,0
2023-06-17,-0.9263022079999998,0,0
2023-06-18,-0.39839631360000016,7,1
2023-06-19,-0.23705600000000016,3,0
2023-06-20,-0.17039360000000012,0,0
2023-06-21,-0.13099008,0,0
2023-06-22,2.894828544,1,0
2023-06-23,0.7129235456000003,5,0
2023-06-24,-1.2007520255999997,0,8
2023-06-25,-0.4447981568,1,1
2023-06-26,-0.25280000000000014,0,0
2023-06-27,-0.17305600000000015,0,1
2023-06-28,-0.12879360000000006,0,0
2023-06-29,1.89896192,1,0
2023-06-30,3.1177917440000003,0,5
2023-07-01,-1.9087058943999997,3,0
2023-07-02,-0.6335963136,5,3
2023-07-03,0.6607999999999998,0,1
2023-07-04,-0.6263040000000002,0,0
